Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c_shared/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  69500 |loss   0.09 |n_ep 11365 |ep_len   83.3 |ep_rew   1.46 |raw_ep_rew  14.53 |env_step 556000 |time 39:28 rem 528:25
iter  70000 |loss  -0.00 |n_ep 11413 |ep_len   81.7 |ep_rew   1.36 |raw_ep_rew  13.63 |env_step 560000 |time 39:45 rem 528:15
iter  70500 |loss   0.02 |n_ep 11457 |ep_len   93.0 |ep_rew   1.70 |raw_ep_rew  12.02 |env_step 564000 |time 40:02 rem 527:55
iter  71000 |loss   0.00 |n_ep 11498 |ep_len  100.9 |ep_rew   1.90 |raw_ep_rew  13.76 |env_step 568000 |time 40:19 rem 527:41
iter  71500 |loss   0.09 |n_ep 11546 |ep_len   80.1 |ep_rew   1.30 |raw_ep_rew  14.39 |env_step 572000 |time 40:37 rem 527:27
iter  72000 |loss  -0.04 |n_ep 11587 |ep_len  114.9 |ep_rew   2.25 |raw_ep_rew  13.61 |env_step 576000 |time 40:54 rem 527:12
iter  72500 |loss   0.05 |n_ep 11631 |ep_len   82.5 |ep_rew   1.37 |raw_ep_rew  15.69 |env_step 580000 |time 41:11 rem 526:53
iter  73000 |loss  -0.08 |n_ep 11673 |ep_len   88.2 |ep_rew   1.50 |raw_ep_rew  14.83 |env_step 584000 |time 41:27 rem 526:34
iter  73500 |loss  -0.04 |n_ep 11716 |ep_len  100.7 |ep_rew   1.66 |raw_ep_rew  15.23 |env_step 588000 |time 41:44 rem 526:11
iter  74000 |loss   0.03 |n_ep 11763 |ep_len   94.7 |ep_rew   1.59 |raw_ep_rew  15.63 |env_step 592000 |time 42:01 rem 525:52
iter  74500 |loss   0.00 |n_ep 11808 |ep_len   91.2 |ep_rew   1.53 |raw_ep_rew  14.72 |env_step 596000 |time 42:17 rem 525:25
iter  75000 |loss  -0.01 |n_ep 11848 |ep_len   79.8 |ep_rew   1.35 |raw_ep_rew  14.05 |env_step 600000 |time 42:34 rem 525:02
iter  75500 |loss  -0.04 |n_ep 11891 |ep_len   95.2 |ep_rew   1.66 |raw_ep_rew  15.17 |env_step 604000 |time 42:50 rem 524:38
iter  76000 |loss   0.05 |n_ep 11933 |ep_len  101.3 |ep_rew   1.86 |raw_ep_rew  15.76 |env_step 608000 |time 43:07 rem 524:23
iter  76500 |loss   0.07 |n_ep 11973 |ep_len  112.6 |ep_rew   2.00 |raw_ep_rew  14.83 |env_step 612000 |time 43:24 rem 524:01
iter  77000 |loss   0.12 |n_ep 12012 |ep_len   94.1 |ep_rew   1.67 |raw_ep_rew  17.61 |env_step 616000 |time 43:40 rem 523:37
iter  77500 |loss  -0.04 |n_ep 12049 |ep_len  107.8 |ep_rew   2.06 |raw_ep_rew  17.51 |env_step 620000 |time 43:57 rem 523:09
